번호,교육명,clean_sentence,okt,mecab
30506017,[인생설계] 삶을 변화시키는 성북 하루공부 (나를 표현하는 연극과 심리극의 기본), 인생설계  삶을 변화시키는 성북 하루공부  나를 표현하는 연극과 심리극의 기본 ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '표현', '연극', '심리', '기본']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '나', '표현', '연극', '심리극', '기본']"
30505738,[인생설계] 삶을 변화시키는 성북 하루공부 ( 아름다운 삶의 마무리! 행복한 웰다잉! ), 인생설계  삶을 변화시키는 성북 하루공부   아름다운 삶의 마무리  행복한 웰다잉   ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '삶', '마무리', '웰다잉']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '삶', '마무리', '행복', '잉']"
30491701,중장년 일자리?일거리 진입 실전,중장년 일자리 일거리 진입 실전,"['중장', '년', '일자리', '일거리', '진입', '실전']","['중장', '년', '일자리', '일거리', '진입', '실전']"
30550099,[커뮤니티] 2색쇠머리떡케이크, 커뮤니티  2색쇠머리떡케이크,"['커뮤니티', '색쇠', '머리', '떡케이크']","['커뮤니티', '색', '쇠머리', '떡', '케이크']"
30534631,[인생설계] 삶을 변화시키는 성북 하루공부 ( 실사례로 알아보는 새로운 내 일(job) 설계 ), 인생설계  삶을 변화시키는 성북 하루공부   실사례로 알아보는 새로운 내 일 job  설계  ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '실', '사례', '내', '일', '설계']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '실사', '례', '일', '설계']"
30534545,[인생설계] 삶을 변화시키는 성북 하루공부 ( 맥주로 떠나는 인문학 여행 ), 인생설계  삶을 변화시키는 성북 하루공부   맥주로 떠나는 인문학 여행  ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '맥주', '인문학', '여행']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '맥주', '인문학', '여행']"
30533395,[인생설계] 삶을 변화시키는 성북 하루공부 (요리사와 함께하는 스페인 산티아고 순례길 여행), 인생설계  삶을 변화시키는 성북 하루공부  요리사와 함께하는 스페인 산티아고 순례길 여행 ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '요리사', '스페인', '산티아고', '순례', '길', '여행']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '요리사', '스페인', '산티아고', '순례', '길', '여행']"
30525701,[인생설계] 삶을 변화시키는 성북 하루공부 ( 정승빈작가의 어반스케치 - 드로잉과 채색법 ), 인생설계  삶을 변화시키는 성북 하루공부   정승빈작가의 어반스케치   드로잉과 채색법  ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '정승빈', '작가', '어', '스케치', '드로잉', '채색', '법']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '정승', '작가', '반', '스케치', '드로잉', '색법']"
30532594,"[인생설계] 삶을 변화시키는 성북 하루공부 (5060의 삶, 어떻게 살 것인가 건강, 돈, 일 중심으로)", 인생설계  삶을 변화시키는 성북 하루공부   의 삶  어떻게 살 것인가 건강  돈  일 중심으로 ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '의', '삶', '살', '것', '건강', '돈', '일', '중심']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '삶', '것', '건강', '돈', '중심']"
30532542,[인생설계] 삶을 변화시키는 성북 하루공부 (ESG경영 사업성공으로 가는 길), 인생설계  삶을 변화시키는 성북 하루공부  ESG경영 사업성공으로 가는 길 ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '경영', '사업', '성공', '길']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '경영', '사업', '성공', '길']"
30532482,[인생설계] 삶을 변화시키는 성북 하루공부 (NFT 기본개념 2시간 안에 끝내기), 인생설계  삶을 변화시키는 성북 하루공부  NFT 기본개념 2시간 안에 끝내기 ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '기본', '개념', '안', '끝내기']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '기본', '개념', '시간', '안']"
30532663,[커뮤니티] 떡사모 커뮤니티 역량강화교육, 커뮤니티  떡사모 커뮤니티 역량강화교육,"['커뮤니티', '떡', '사모', '커뮤니티', '역량', '강화', '교육']","['커뮤니티', '떡', '사모', '커뮤니티', '역량', '강화', '교육']"
30480870,세련된 중년의 패션챌린지 & 새봄의 패션쇼 (심화),세련된 중년의 패션챌린지   새봄의 패션쇼  ,"['중년', '패션', '린지', '새봄', '패션쇼']","['중년', '패션', '챌린지', '새봄', '패션쇼']"
30480562,나도 이제는 DJ!! ②,나도 이제는 DJ    ,['이제'],"['나', '이제']"
30479514,힐링 플루트 교실,힐링 플루트 교실,"['힐링', '플루트', '교실']","['힐링', '플루트', '교실']"
30476664,[취업준비교실]나만의 자부심명함 만들기, 취업준비교실 나만의 자부심명함 만들기,"['취업', '준비', '교실', '나', '자부심', '명함', '만들기']","['취업', '준비', '교실', '나만', '자부심', '명함']"
30477086,전쟁은 왜 일어나는 것일까?,전쟁은 왜 일어나는 것일까 ,"['전쟁', '왜', '것']","['전쟁', '것']"
30479185,도전! 앙금꽃 디저트 떡케이크 만들기(기초A),도전  앙금꽃 디저트 떡케이크 만들기 기초A ,"['도전', '앙금', '꽃', '디저트', '떡케이크', '만들기', '기초']","['도전', '앙금', '꽃', '디저트', '떡', '케이크', '기초']"
30356223,“내 몸의 건강지도” 혈(穴)을 다스리면 건강이 보인다., 내 몸의 건강지도  혈   을 다스리면 건강이 보인다 ,"['내', '몸', '건강', '지도', '혈', '건강']","['내', '몸', '건강', '지도', '혈', '건강']"
30356478,초보 유튜버를 위한 영상편집(ft.파워디렉터),초보 유튜버를 위한 영상편집 ft 파워디렉터 ,"['초보', '유튜버', '위', '영상편집', '파워', '디렉터']","['초보', '유', '튜버', '영상', '편집', '파워', '디렉터']"
30480352,노래로 배우는 어쿠스틱 기타,노래로 배우는 어쿠스틱 기타,"['노래', '어쿠스틱', '기타']","['노래', '어쿠스틱', '기타']"
30481877,도슨트가 들려주는 아름다운 우리 미술품 이야기,도슨트가 들려주는 아름다운 우리 미술품 이야기,"['도슨트', '우리', '미술품', '이야기']","['도슨', '트', '우리', '미술품', '이야기']"
30482188,전통 보자기와 실링왁스로 설날포장 준비하기,전통 보자기와 실링왁스로 설날포장 준비하기,"['전통', '보자기', '실링', '왁스', '설날', '포장', '준비']","['전통', '보자기', '실링', '왁스', '설날', '포장', '준비']"
30356754,블로그&카페 운영-홍보하기,블로그 카페 운영 홍보하기,"['블로그', '카페', '운영', '홍보']","['블로그', '카페', '운영', '홍보']"
30359285,아는만큼 재미있는 구글 크롬 기초& 활용,아는만큼 재미있는 구글 크롬 기초  활용,"['구글', '크롬', '기초', '활용']","['만큼', '구글', '크롬', '기초', '활용']"
30491187,[원예치료] 테라리움 입문자 과정, 원예치료  테라리움 입문자 과정,"['원예', '치료', '테라', '리움', '입문', '과정']","['원예', '치료', '테라', '입', '문자', '과정']"
30354910,도전! 모델 워킹(기초반),도전  모델 워킹 ,"['도전', '모델', '워킹']","['도전', '모델', '워킹']"
30354760,내 몸을 살리는 몸살림,내 몸을 살리는 몸살림,"['내', '몸', '몸', '살림']","['내', '몸', '몸', '살림']"
30359858,스마트한 생활을 위한 컴퓨터 기초&활용,스마트한 생활을 위한 컴퓨터 기초 활용,"['스마트', '생활', '위', '컴퓨터', '기초', '활용']","['스마트', '생활', '컴퓨터', '기초', '활용']"
30356893,누구나 쉽게 만드는 무료 홈페이지 (네이버Modoo!),누구나 쉽게 만드는 무료 홈페이지  네이버Modoo  ,"['누구', '무료', '홈페이지', '네이버']","['누구', '무료', '홈페이지', '네이버']"
30356381,내 몸을 디자인하다 : 홈 트레이닝,내 몸을 디자인하다   홈 트레이닝,"['내', '몸', '디자인', '홈', '트레이닝']","['내', '몸', '디자인', '홈', '트레이닝']"
30358104,"슬기로운 SNS 활용생활(인스타, 유튜브, 페이스북 등)",슬기로운 SNS 활용생활 인스타  유튜브  페이스북 등 ,"['활용', '생활', '인스타', '유튜브', '페이스북', '등']","['슬기', '활용', '생활', '스타', '유튜브', '페이스북', '등']"
30477164,실전창업-나도 사장 프로젝트,실전창업 나도 사장 프로젝트,"['실전', '창업', '사장', '프로젝트']","['실전', '창업', '나', '사장', '프로젝트']"
30478975,와인 소믈리에(자격증반) II,와인 소믈리에  II,"['와인', '소믈리에']","['와인', '소믈리에']"
30481648,재미난 여행 영어  + 알파,재미난 여행 영어    알파,"['재미', '여행', '영어', '알파']","['여행', '영어', '알파']"
30418179,[취업준비교실] 시니어 퍼스널브랜딩 노하우, 취업준비교실  시니어 퍼스널브랜딩 노하우,"['취업', '준비', '교실', '시니어', '퍼스', '널', '브랜딩', '노하우']","['취업', '준비', '교실', '시니어', '퍼스널', '브', '랜딩', '노하우']"
30481240,실전 일본어,실전 일본어,"['실전', '일본어']","['실전', '일본어']"
30480412,국악노래(창) 배우기,국악노래  배우기,"['국악', '노래']","['국악', '노래']"
30480059,베이직 드럼 취미반,베이직 드럼 취미반,"['베이직', '드럼', '취미', '반']","['베이직', '드럼', '취미', '반']"
30479935,우쿨렐레 클래스,우쿨렐레 클래스,"['우쿨렐레', '클래스']","['우쿨렐레', '클래스']"
30479715,함께 배우는 대금의 소리,함께 배우는 대금의 소리,"['대금', '소리']","['대금', '소리']"
30478676,바리스타 양성과정,바리스타 양성과정,"['바리스타', '양성', '과정']","['바리스타', '양성', '과정']"
30395658,[도시농부양성과정] 수경재배 첫 만남, 도시농부양성과정  수경재배 첫 만남,"['도시', '농부', '양성', '과정', '수경재배', '첫', '만남']","['도시', '농부', '양성', '과정', '수경', '재배', '만남']"
30359045,나도 할 수 있다! 스마트폰 A to Z,나도 할 수 있다  스마트폰 A to Z,"['수', '스마트폰']","['나', '수', '스마트폰']"
30476906,프로이드와 함께 읽는 눈길,프로이드와 함께 읽는 눈길,"['프로이드', '눈길']","['프로이드', '눈길']"
30397893,[국민연금공단과 함께하는]출발! 앱 크리에이터(안드로이드폰), 국민연금공단과 함께하는 출발  앱 크리에이터 ,"['국민연금', '공단', '출발', '앱', '크리에이터']","['국민', '연금', '공단', '출발', '앱', '크리에이터']"
30518760,성동구 자원관리사 직무강화 교육,성동구 자원관리사 직무강화 교육,"['성동구', '자원', '관리사', '직무', '강화', '교육']","['성동구', '자원', '관리사', '직무', '강화', '교육']"
30360733,영상자서전 봉사단(나도 영상작가_영상자서전 제작 과정),영상자서전 봉사단 나도 영상작가 영상자서전 제작 과정 ,"['영상', '자서전', '봉사', '단', '영상', '작가', '영상', '자서전', '제작', '과정']","['영상', '자서전', '봉사', '나', '영상', '작가', '영상', '자서전', '제작', '과정']"
30395037,[사람품학교] 전자책 쉽게 쓰고 출간 작가 되기, 사람품학교  전자책 쉽게 쓰고 출간 작가 되기,"['사람', '품', '학교', '전자책', '간', '작가']","['사람', '품', '학교', '전자책', '출간', '작가']"
30420504,[사람품학교] 식물교실1_호접란 이끼볼 만들기, 사람품학교  식물교실1 호접란 이끼볼 만들기,"['사람', '품', '학교', '식물', '교실', '호', '이끼', '볼', '만들기']","['사람', '품', '학교', '식물', '교실', '호접', '이끼']"
30419976,[사람품학교] 100세 건강지키는 귀반사(이혈) 건강법, 사람품학교   세 건강지키는 귀반사  건강법,"['사람', '품', '학교', '세', '건강', '반사', '건강', '법']","['사람', '품', '학교', '건강', '귀', '반사', '건강법']"
30420838,[사람품학교] 식물교실2_사막형 테라리움 만들기, 사람품학교  식물교실2 사막형 테라리움 만들기,"['사람', '품', '학교', '식물', '교실', '사막', '테라', '리움', '만들기']","['사람', '품', '학교', '식물', '교실', '사막', '테라']"
30414736,[사람품학교/야간] 50대의 창업 (개인매장 vs 프랜차이즈), 사람품학교 야간   대의 창업  개인매장 vs 프랜차이즈 ,"['사람', '품', '학교', '야간', '대의', '창업', '개인', '매장', '프랜차이즈']","['사람', '품', '학교', '야간', '대', '창업', '개인', '매장', '프랜차이즈']"
30421565,[사람품학교] 식물교실3_옹기화분과 식물의 만남, 사람품학교  식물교실3 옹기화분과 식물의 만남,"['사람', '품', '학교', '식물', '교실', '옹기', '분과', '식물', '만남']","['사람', '품', '학교', '식물', '교실', '옹기', '분과', '식물', '만남']"
30396019,[사람품학교] 연극과 심리극, 사람품학교  연극과 심리극,"['사람', '품', '학교', '연극', '심리']","['사람', '품', '학교', '연극', '심리극']"
30407466,[사람품학교] 쉽고 즐거운 작품이 되는 미술, 사람품학교  쉽고 즐거운 작품이 되는 미술,"['사람', '품', '학교', '작품', '미술']","['사람', '품', '학교', '작품', '미술']"
30505421,[커뮤니티] 우해우 커뮤니티 역량강화교육, 커뮤니티  우해우 커뮤니티 역량강화교육,"['커뮤니티', '해우', '커뮤니티', '역량', '강화', '교육']","['커뮤니티', '우해', '커뮤니티', '역량', '강화', '교육']"
30409604,[사람품학교] 강의 역량 높이는 디지털 도구 배우기, 사람품학교  강의 역량 높이는 디지털 도구 배우기,"['사람', '품', '학교', '강의', '역량', '디지털', '도구']","['사람', '품', '학교', '강의', '역량', '디지털', '도구']"
30394442,[사람품학교/주말] 스토리가 있는 생태팝업북, 사람품학교 주말  스토리가 있는 생태팝업북,"['사람', '품', '학교', '주말', '스토리', '생태', '팝업', '북']","['사람', '품', '학교', '주말', '스토리', '생태', '팝업', '북']"
30415445,[사람품학교] 맛깔나는 편집으로 나만의 PPT 만들기, 사람품학교  맛깔나는 편집으로 나만의 PPT 만들기,"['사람', '품', '학교', '편집', '나', '만들기']","['사람', '품', '학교', '맛깔', '나', '편집', '나']"
30417112,[사람품학교] 너무 쉬운 내 PC 문제해결법, 사람품학교  너무 쉬운 내 PC 문제해결법,"['사람', '품', '학교', '내', '문제해결', '법']","['사람', '품', '학교', '문제', '해결', '법']"
30394028,[사람품학교] 아름다운 하늘 소풍 : 엔딩노트, 사람품학교  아름다운 하늘 소풍   엔딩노트,"['사람', '품', '학교', '하늘', '소풍', '엔딩', '노트']","['사람', '품', '학교', '하늘', '소풍', '엔딩', '노트']"
30411579,[사람품학교] 중?장년 일&활동 설명서, 사람품학교  중 장년 일 활동 설명서,"['사람', '품', '학교', '중', '장년', '일', '활동', '설명']","['사람', '품', '학교', '중', '장년', '활동', '설명서']"
30482429,[BTS 3기] 건강한 겨울을 위한 훌라댄스 기초 배우기, BTS    건강한 겨울을 위한 훌라댄스 기초 배우기,"['겨울', '위', '훌라', '댄스', '기초']","['건강', '겨울', '훌라', '댄스', '기초']"
30483083,[BTS 3기] 100일에 35권 책 읽기 도전! 행복한 책 읽기, BTS     에 35권 책 읽기 도전  행복한 책 읽기,"['권', '책', '도전', '책']","['권', '책', '행복', '책']"
